校区,开课学院,课程代码,课程名称,任课教师,班级名称,人数,考试时间,教室名称,备注
仙林,电子科学与工程学院,B0400031S,数字电路与逻辑设计,方承志,B120110,4,2014年09月02日(16:00-17:50),教2－202,
仙林,电子科学与工程学院,B0400031S,数字电路与逻辑设计,方承志,B120111,2,2014年09月02日(16:00-17:50),教2－202,
仙林,电子科学与工程学院,B0400031S,数字电路与逻辑设计,方承志,B120206,1,2014年09月02日(16:00-17:50),教2－202,
仙林,电子科学与工程学院,B0400031S,数字电路与逻辑设计,方承志,B120207,1,2014年09月02日(16:00-17:50),教2－202,
三牌楼,电子科学与工程学院,B0400031S,数字电路与逻辑设计,方承志,B110102,1,2014年09月02日(16:00-17:50),图6,
三牌楼,电子科学与工程学院,B0400031S,数字电路与逻辑设计,方承志,B110104,1,2014年09月02日(16:00-17:50),图6,
三牌楼,电子科学与工程学院,B0400031S,数字电路与逻辑设计,方承志,B110108,1,2014年09月02日(16:00-17:50),图6,
三牌楼,电子科学与工程学院,B0400031S,数字电路与逻辑设计,方承志,B110111,2,2014年09月02日(16:00-17:50),图6,
三牌楼,电子科学与工程学院,B0400031S,数字电路与逻辑设计,方承志,B110112,2,2014年09月02日(16:00-17:50),图6,
三牌楼,电子科学与工程学院,B0400031S,数字电路与逻辑设计,方承志,B110115,1,2014年09月02日(16:00-17:50),图6,
三牌楼,电子科学与工程学院,B0400031S,数字电路与逻辑设计,方承志,B110116,1,2014年09月02日(16:00-17:50),图6,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,何涛,B120404,7,2014年09月02日(16:00-17:50),教2－300,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,何涛,B120405,5,2014年09月02日(16:00-17:50),教2－300,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,何涛,B120406,6,2014年09月02日(16:00-17:50),教2－300,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,何涛,B120501,2,2014年09月02日(16:00-17:50),教2－300,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,何艳,B120506,7,2014年09月02日(16:00-17:50),教2－300,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,何艳,B120507,4,2014年09月02日(16:00-17:50),教2－300,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,何艳,B120508,3,2014年09月02日(16:00-17:50),教2－300,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,何艳,B120504,3,2014年09月02日(16:00-17:50),教2－302,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,何艳,B120508,2,2014年09月02日(16:00-17:50),教2－302,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,何艳,B120509,1,2014年09月02日(16:00-17:50),教2－302,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,何艳,B120510,8,2014年09月02日(16:00-17:50),教2－302,
仙林,电子科学与工程学院,B0402061S,光纤通信原理与系统（双语）,侯韶华,B110201,3,2014年09月02日(16:00-17:50),教2－101,
仙林,电子科学与工程学院,B0402061S,光纤通信原理与系统（双语）,侯韶华,B110202,1,2014年09月02日(16:00-17:50),教2－101,
仙林,电子科学与工程学院,B0402061S,光纤通信原理与系统（双语）,侯韶华,B110203,3,2014年09月02日(16:00-17:50),教2－101,
仙林,电子科学与工程学院,B0400031S,数字电路与逻辑设计,解其云,B120112,4,2014年09月02日(16:00-17:50),教2－202,
仙林,电子科学与工程学院,B0400031S,数字电路与逻辑设计,解其云,B120113,5,2014年09月02日(16:00-17:50),教2－202,
仙林,电子科学与工程学院,B0400031S,数字电路与逻辑设计,解其云,B120114,6,2014年09月02日(16:00-17:50),教2－202,
仙林,电子科学与工程学院,B0400031S,数字电路与逻辑设计,解其云,B120115,5,2014年09月02日(16:00-17:50),教2－202,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,施刚,B120801,1,2014年09月02日(16:00-17:50),教2－301,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,施刚,B120802,6,2014年09月02日(16:00-17:50),教2－301,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,施刚,B120805,1,2014年09月02日(16:00-17:50),教2－301,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,施刚,B120806,2,2014年09月02日(16:00-17:50),教2－301,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,施刚,B121001,4,2014年09月02日(16:00-17:50),教2－302,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,施刚,B121002,1,2014年09月02日(16:00-17:50),教2－302,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,施刚,B121401,3,2014年09月02日(16:00-17:50),教2－302,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,王靖,B120511,4,2014年09月02日(16:00-17:50),教2－302,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,王靖,B120605,3,2014年09月02日(16:00-17:50),教2－302,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,王靖,B120606,8,2014年09月02日(16:00-17:50),教2－302,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,王靖,B120705,2,2014年09月02日(16:00-17:50),教2－302,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,王靖,B120706,3,2014年09月02日(16:00-17:50),教2－302,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,王靖,B120903,1,2014年09月02日(16:00-17:50),教2－302,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,王靖,B120904,4,2014年09月02日(16:00-17:50),教2－302,
仙林,电子科学与工程学院,B0400031S,数字电路与逻辑设计,王伟,B120204,8,2014年09月02日(16:00-17:50),教2－202,
仙林,电子科学与工程学院,B0400031S,数字电路与逻辑设计,王伟,B120205,4,2014年09月02日(16:00-17:50),教2－202,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,谢国治,B110401,2,2014年09月02日(16:00-17:50),教2－301,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,谢国治,B110402,1,2014年09月02日(16:00-17:50),教2－301,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,谢国治,B110405,2,2014年09月02日(16:00-17:50),教2－301,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,谢国治,B110406,1,2014年09月02日(16:00-17:50),教2－301,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,谢国治,B110407,1,2014年09月02日(16:00-17:50),教2－301,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,谢国治,B110408,1,2014年09月02日(16:00-17:50),教2－301,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,谢国治,B110409,1,2014年09月02日(16:00-17:50),教2－301,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,谢国治,B110411,2,2014年09月02日(16:00-17:50),教2－301,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,谢国治,B110505,1,2014年09月02日(16:00-17:50),教2－301,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,谢国治,B110506,1,2014年09月02日(16:00-17:50),教2－301,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,谢国治,B110507,2,2014年09月02日(16:00-17:50),教2－301,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,谢国治,B110508,1,2014年09月02日(16:00-17:50),教2－301,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,谢国治,B110606,3,2014年09月02日(16:00-17:50),教2－301,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,谢国治,B110704,3,2014年09月02日(16:00-17:50),教2－301,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,谢国治,B110705,3,2014年09月02日(16:00-17:50),教2－301,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,谢国治,B110903,7,2014年09月02日(16:00-17:50),教2－301,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,谢国治,B110904,6,2014年09月02日(16:00-17:50),教2－301,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,谢国治,B111001,3,2014年09月02日(16:00-17:50),教2－301,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,谢国治,B111002,2,2014年09月02日(16:00-17:50),教2－301,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,谢国治,B111401,1,2014年09月02日(16:00-17:50),教2－301,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,谢国治,B111402,1,2014年09月02日(16:00-17:50),教2－301,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,杨浩,B120407,6,2014年09月02日(16:00-17:50),教2－300,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,杨浩,B120408,3,2014年09月02日(16:00-17:50),教2－300,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,杨浩,B120412,5,2014年09月02日(16:00-17:50),教2－300,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,杨浩,B120413,7,2014年09月02日(16:00-17:50),教2－300,
仙林,电子科学与工程学院,B0400031S,数字电路与逻辑设计,袁丰,B120201,5,2014年09月02日(16:00-17:50),教2－202,
仙林,电子科学与工程学院,B0400031S,数字电路与逻辑设计,袁丰,B120202,10,2014年09月02日(16:00-17:50),教2－202,
仙林,电子科学与工程学院,B0400031S,数字电路与逻辑设计,袁丰,B120203,4,2014年09月02日(16:00-17:50),教2－202,
仙林,电子科学与工程学院,B0400031S,数字电路与逻辑设计,张晶,B120105,1,2014年09月02日(16:00-17:50),教2－202,
仙林,电子科学与工程学院,B0400031S,数字电路与逻辑设计,张晶,B120106,4,2014年09月02日(16:00-17:50),教2－202,
仙林,电子科学与工程学院,B0400031S,数字电路与逻辑设计,张晶,B120107,1,2014年09月02日(16:00-17:50),教2－202,
仙林,电子科学与工程学院,B0400031S,数字电路与逻辑设计,张晶,B120108,4,2014年09月02日(16:00-17:50),教2－202,
仙林,电子科学与工程学院,B0400031S,数字电路与逻辑设计,周洪敏,B120101,5,2014年09月02日(16:00-17:50),教2－202,
仙林,电子科学与工程学院,B0400031S,数字电路与逻辑设计,周洪敏,B120104,3,2014年09月02日(16:00-17:50),教2－202,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,朱莉娟,B120305,3,2014年09月02日(16:00-17:50),教2－300,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,朱莉娟,B120306,4,2014年09月02日(16:00-17:50),教2－300,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,朱莉娟,B120304,3,2014年09月02日(16:00-17:50),教2－301,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,朱莉娟,B120305,2,2014年09月02日(16:00-17:50),教2－301,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,朱莉娟,B120701,2,2014年09月02日(16:00-17:50),教2－302,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,朱莉娟,B120702,4,2014年09月02日(16:00-17:50),教2－302,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,朱莉娟,B120703,3,2014年09月02日(16:00-17:50),教2－302,
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,朱莉娟,B120704,11,2014年09月02日(16:00-17:50),教2－302,
仙林,管理学院,R04047008,信息系统分析与设计,李东业,B121118,1,2014年09月02日(16:00-17:50),教3－201,
仙林,管理学院,R04047008,信息系统分析与设计,李东业,B121119,2,2014年09月02日(16:00-17:50),教3－201,
仙林,管理学院,R05027351,成本会计,李瑛,B121121,2,2014年09月02日(16:00-17:50),教3－201,
仙林,管理学院,R04047006,信息存储与检索,刘婧,B111118,1,2014年09月02日(16:00-17:50),教3－201,
仙林,管理学院,B0107081S,运筹学,孙建敏,B111104,2,2014年09月02日(16:00-17:50),教3－201,
仙林,管理学院,B0107081S,运筹学,孙建敏,B111105,1,2014年09月02日(16:00-17:50),教3－201,
仙林,管理学院,B0107081S,运筹学,孙建敏,B111109,1,2014年09月02日(16:00-17:50),教3－201,
仙林,管理学院,B0107081S,运筹学,孙建敏,B111111,1,2014年09月02日(16:00-17:50),教3－201,
仙林,管理学院,B0107081S,运筹学,孙建敏,B121104,7,2014年09月02日(16:00-17:50),教3－201,
仙林,管理学院,B0107081S,运筹学,孙建敏,B121105,6,2014年09月02日(16:00-17:50),教3－201,
仙林,管理学院,B0107081S,运筹学,孙建敏,B121106,4,2014年09月02日(16:00-17:50),教3－201,
仙林,管理学院,B0107081S,运筹学,孙建敏,B121107,3,2014年09月02日(16:00-17:50),教3－201,
三牌楼,管理学院,B0107081S,运筹学,孙建敏,B111103,3,2014年09月02日(16:00-17:50),图6,
仙林,管理学院,R05037011,市场营销学,谢长征,B121203,2,2014年09月02日(16:00-17:50),教3－201,
仙林,管理学院,B0107081S,运筹学,邢光军,B111106,1,2014年09月02日(16:00-17:50),教3－201,
仙林,管理学院,B0107081S,运筹学,邢光军,B121101,1,2014年09月02日(16:00-17:50),教3－201,
仙林,管理学院,B0107081S,运筹学,邢光军,B121102,1,2014年09月02日(16:00-17:50),教3－201,
仙林,管理学院,B0107081S,运筹学,邢光军,B121103,3,2014年09月02日(16:00-17:50),教3－201,
三牌楼,管理学院,B0107081S,运筹学,邢光军,B111101,2,2014年09月02日(16:00-17:50),图6,
仙林,管理学院,R05037011,市场营销学,张吟鹤,B121113,1,2014年09月02日(16:00-17:50),教3－201,
仙林,管理学院,B0107081S,运筹学,朱卫未,B111104,1,2014年09月02日(16:00-17:50),教3－201,
仙林,管理学院,B0107081S,运筹学,朱卫未,B121108,2,2014年09月02日(16:00-17:50),教3－201,
仙林,管理学院,B0107081S,运筹学,朱卫未,B121109,6,2014年09月02日(16:00-17:50),教3－201,
仙林,管理学院,B0107081S,运筹学,朱卫未,B121110,4,2014年09月02日(16:00-17:50),教3－201,
三牌楼,管理学院,B0107081S,运筹学,朱卫未,B111102,1,2014年09月02日(16:00-17:50),图6,
三牌楼,管理学院,B0107081S,运筹学,朱卫未,B111103,2,2014年09月02日(16:00-17:50),图6,
仙林,光电工程学院,B0402063S,光纤通信系统,黄勇林,B110304,2,2014年09月02日(16:00-17:50),教2－101,
仙林,光电工程学院,B0402063S,光纤通信系统,黄勇林,B110306,1,2014年09月02日(16:00-17:50),教2－101,
仙林,光电工程学院,B0402063S,光纤通信系统,黄勇林,B110307,1,2014年09月02日(16:00-17:50),教2－101,
仙林,光电工程学院,B0402062S,光纤通信原理与系统,汪静丽,B110301,2,2014年09月02日(16:00-17:50),教2－101,
仙林,光电工程学院,B0402062S,光纤通信原理与系统,汪静丽,B110302,3,2014年09月02日(16:00-17:50),教2－101,
仙林,光电工程学院,B0402062S,光纤通信原理与系统,汪静丽,B110303,4,2014年09月02日(16:00-17:50),教2－101,
仙林,计算机学院,B0300091S,Java语言程序设计,成小惠,B131401,1,2014年09月02日(16:00-17:50),教3－102,
仙林,计算机学院,B0300091S,Java语言程序设计,成小惠,B131402,2,2014年09月02日(16:00-17:50),教3－102,
仙林,计算机学院,B0300091S,Java语言程序设计,成小惠,B131403,1,2014年09月02日(16:00-17:50),教3－102,
仙林,计算机学院,B0300091S,Java语言程序设计,成小惠,B131404,1,2014年09月02日(16:00-17:50),教3－102,
仙林,计算机学院,B0300091S,Java语言程序设计,季一木,B131003,8,2014年09月02日(16:00-17:50),教3－101,
仙林,计算机学院,B0300091S,Java语言程序设计,季一木,B131004,4,2014年09月02日(16:00-17:50),教3－101,
仙林,计算机学院,B0300091S,Java语言程序设计,季一木,B131201,7,2014年09月02日(16:00-17:50),教3－101,
仙林,计算机学院,B0300091S,Java语言程序设计,季一木,B131202,1,2014年09月02日(16:00-17:50),教3－101,
仙林,计算机学院,B0300091S,Java语言程序设计,李莉,B130805,2,2014年09月02日(16:00-17:50),教3－102,
仙林,计算机学院,B0300091S,Java语言程序设计,李莉,B130806,6,2014年09月02日(16:00-17:50),教3－102,
仙林,计算机学院,B0300091S,Java语言程序设计,李莉,B131407,1,2014年09月02日(16:00-17:50),教3－102,
仙林,计算机学院,B0300091S,Java语言程序设计,李莉,B131408,1,2014年09月02日(16:00-17:50),教3－102,
锁金,计算机学院,Z04036005,汇编语言,李维维,Z121608,11,2014年09月02日(16:00-17:50),锁金－303,
仙林,计算机学院,B0300091S,Java语言程序设计,刘志鹏,B131306,7,2014年09月02日(16:00-17:50),教3－102,
仙林,计算机学院,B0300091S,Java语言程序设计,刘志鹏,B131307,4,2014年09月02日(16:00-17:50),教3－102,
仙林,计算机学院,B0300091S,Java语言程序设计,肖欣欣,B131106,1,2014年09月02日(16:00-17:50),教3－101,
仙林,计算机学院,B0300091S,Java语言程序设计,肖欣欣,B131107,3,2014年09月02日(16:00-17:50),教3－101,
仙林,计算机学院,B0300111S,数据库技术与应用,肖欣欣,B130505,1,2014年09月02日(16:00-17:50),教3－202,
仙林,计算机学院,B0300111S,数据库技术与应用,肖欣欣,B130506,4,2014年09月02日(16:00-17:50),教3－202,
仙林,计算机学院,B0300091S,Java语言程序设计,杨健,B131111,2,2014年09月02日(16:00-17:50),教3－101,
仙林,计算机学院,B0300091S,Java语言程序设计,杨健,B131111,5,2014年09月02日(16:00-17:50),教3－102,
仙林,计算机学院,B0300091S,Java语言程序设计,杨健,B131112,6,2014年09月02日(16:00-17:50),教3－102,
仙林,计算机学院,B0300091S,Java语言程序设计,杨健,B131113,3,2014年09月02日(16:00-17:50),教3－102,
仙林,计算机学院,B0300091S,Java语言程序设计,杨健,B131120,3,2014年09月02日(16:00-17:50),教3－102,
仙林,计算机学院,R04037012,软件工程,叶水仙,B110414,6,2014年09月02日(16:00-17:50),教3－202,
仙林,计算机学院,R04037012,软件工程,叶水仙,B110415,6,2014年09月02日(16:00-17:50),教3－202,
仙林,计算机学院,B0300091S,Java语言程序设计,周莉,B131103,5,2014年09月02日(16:00-17:50),教3－101,
仙林,计算机学院,B0300091S,Java语言程序设计,周莉,B131104,6,2014年09月02日(16:00-17:50),教3－101,
仙林,计算机学院,B0300111S,数据库技术与应用,周莉,B131301,1,2014年09月02日(16:00-17:50),教3－202,
仙林,计算机学院,B0300111S,数据库技术与应用,周莉,B131302,2,2014年09月02日(16:00-17:50),教3－202,
仙林,计算机学院,B0300111S,数据库技术与应用,周莉,B131501,1,2014年09月02日(16:00-17:50),教3－202,
仙林,计算机学院,B0300111S,数据库技术与应用,周莉,B131502,1,2014年09月02日(16:00-17:50),教3－202,
仙林,计算机学院,B0300091S,Java语言程序设计,朱艳梅,B131005,6,2014年09月02日(16:00-17:50),教3－101,
仙林,计算机学院,B0300091S,Java语言程序设计,朱艳梅,B131006,2,2014年09月02日(16:00-17:50),教3－101,
仙林,计算机学院,B0300091S,Java语言程序设计,朱艳梅,B131007,5,2014年09月02日(16:00-17:50),教3－101,
仙林,计算机学院,B0300111S,数据库技术与应用,朱艳梅,B130110,3,2014年09月02日(16:00-17:50),教3－202,
仙林,计算机学院,B0300111S,数据库技术与应用,朱艳梅,B130111,1,2014年09月02日(16:00-17:50),教3－202,
仙林,计算机学院,B0300111S,数据库技术与应用,朱艳梅,B130113,1,2014年09月02日(16:00-17:50),教3－202,
仙林,计算机学院,B0300091S,Java语言程序设计,朱云霞,B131304,6,2014年09月02日(16:00-17:50),教3－102,
仙林,计算机学院,B0300091S,Java语言程序设计,朱云霞,B131305,2,2014年09月02日(16:00-17:50),教3－102,
仙林,计算机学院,B0300111S,数据库技术与应用,朱云霞,B130511,2,2014年09月02日(16:00-17:50),教3－202,
仙林,计算机学院,B0300111S,数据库技术与应用,朱云霞,B130903,3,2014年09月02日(16:00-17:50),教3－202,
仙林,计算机学院,B0300111S,数据库技术与应用,朱云霞,B130904,1,2014年09月02日(16:00-17:50),教3－202,
三牌楼,经济学院,R01027022,时间序列分析,李春平,B111124,2,2014年09月02日(16:00-17:50),图6,
三牌楼,经济学院,R01027022,时间序列分析,李春平,B111125,1,2014年09月02日(16:00-17:50),图6,
三牌楼,经济学院,R01047006,外贸英语谈判与函电,施强,B111122,3,2014年09月02日(16:00-17:50),图6,
三牌楼,经济学院,R01047006,外贸英语谈判与函电,施强,B111123,1,2014年09月02日(16:00-17:50),图6,
锁金,经济学院,Z01026029,现代企业统计分析,徐培,Z121601,1,2014年09月02日(16:00-17:50),锁金－303,
仙林,经济学院,R01027001,统计学原理,宗占红,B121124,10,2014年09月02日(16:00-17:50),教3－300,
仙林,经济学院,R01027001,统计学原理,宗占红,B121125,6,2014年09月02日(16:00-17:50),教3－300,
仙林,理学院,B0602071S,时间序列分析,唐诚,B110803,1,2014年09月02日(16:00-17:50),教2－101,
仙林,理学院,B0602071S,时间序列分析,唐诚,B110804,2,2014年09月02日(16:00-17:50),教2－101,
仙林,理学院,B0601222S,信息论与编码,王友国,B110801,2,2014年09月02日(16:00-17:50),教2－101,
仙林,理学院,B0601222S,信息论与编码,王友国,B110802,3,2014年09月02日(16:00-17:50),教2－101,
仙林,马克思主义学院,B0900013S,思想道德修养与法律基础,赖安君,B130114,2,2014年09月02日(16:00-17:50),教3－300,
仙林,马克思主义学院,B0900013S,思想道德修养与法律基础,赖安君,B130305,1,2014年09月02日(16:00-17:50),教3－300,
仙林,马克思主义学院,B0900013S,思想道德修养与法律基础,赖安君,B130306,1,2014年09月02日(16:00-17:50),教3－300,
仙林,马克思主义学院,B0900013S,思想道德修养与法律基础,鹿晓红,B130112,5,2014年09月02日(16:00-17:50),教3－300,
仙林,马克思主义学院,B0900013S,思想道德修养与法律基础,张娟,B130410,1,2014年09月02日(16:00-17:50),教3－300,
锁金,人文与社会科学学院,Z02036024,保险投资学,葛芳,Z121604,2,2014年09月02日(16:00-17:50),锁金－303,
仙林,人文与社会科学学院,R03017059,社会工作实践II,林虹,B121204,3,2014年09月02日(16:00-17:50),教3－300,
锁金,人文与社会科学学院,Z03036103,侵权行为法,王启迪,Z121607,5,2014年09月02日(16:00-17:50),锁金－303,
仙林,人文与社会科学学院,R03017059,社会工作实践II,周长青,B121205,2,2014年09月02日(16:00-17:50),教3－300,
仙林,软件学院,B1201272C,人工智能,郑彦,B110411,1,2014年09月02日(16:00-17:50),教3－202,
三牌楼,通信与信息工程学院,B0202051S,宽带交换技术,陈美娟,B110101,4,2014年09月02日(16:00-17:50),图6,
三牌楼,通信与信息工程学院,B0202051S,宽带交换技术,陈美娟,B110102,4,2014年09月02日(16:00-17:50),图6,
三牌楼,通信与信息工程学院,B0202051S,宽带交换技术,陈美娟,B110103,1,2014年09月02日(16:00-17:50),图6,
三牌楼,通信与信息工程学院,B0202051S,宽带交换技术,陈美娟,B110108,1,2014年09月02日(16:00-17:50),图6,
三牌楼,通信与信息工程学院,B0211071S,电视传输与组网技术,李欣,B110113,2,2014年09月02日(16:00-17:50),图6,
三牌楼,通信与信息工程学院,B0211071S,电视传输与组网技术,李欣,B110114,3,2014年09月02日(16:00-17:50),图6,
三牌楼,通信与信息工程学院,B0202051S,宽带交换技术,王珺,Q110101(TG),1,2014年09月02日(16:00-17:50),图6,
仙林,外国语学院,R06017104,综合英语(4),卞树荣,B121306,1,2014年09月02日(16:00-17:50),教3－300,
仙林,外国语学院,R06017104,综合英语(4),卞树荣,B121307,1,2014年09月02日(16:00-17:50),教3－300,
仙林,外国语学院,R06017021,英语词汇学,王瑛,B111305,1,2014年09月02日(16:00-17:50),教3－300,
仙林,外国语学院,R06017021,英语词汇学,王瑛,B111306,8,2014年09月02日(16:00-17:50),教3－300,
仙林,外国语学院,R06017021,英语词汇学,王瑛,B111307,4,2014年09月02日(16:00-17:50),教3－300,
锁金,外国语学院,Z06016204,英语阅读 (4),王瑛,Z121611,1,2014年09月02日(16:00-17:50),锁金－303,
仙林,材料科学与工程学院,B1701270S,高分子化学（双语）,陈润锋/赵保敏,B120601,1,2014年09月02日(18:30-20:20),教3－101,
仙林,材料科学与工程学院,B1701270S,高分子化学（双语）,陈润锋/赵保敏,B120602,2,2014年09月02日(18:30-20:20),教3－101,
仙林,材料科学与工程学院,B1702071S,功能高分子材料,宇文力辉,B110602,2,2014年09月02日(18:30-20:20),教3－101,
仙林,电子科学与工程学院,B0400012S,电路分析基础B,单剑锋,B110201,1,2014年09月02日(18:30-20:20),教2－401,
仙林,电子科学与工程学院,B0400012S,电路分析基础B,单剑锋,B110205,1,2014年09月02日(18:30-20:20),教2－401,
仙林,电子科学与工程学院,B0400012S,电路分析基础B,单剑锋,B110301,1,2014年09月02日(18:30-20:20),教2－401,
仙林,电子科学与工程学院,B0400012S,电路分析基础B,单剑锋,B110303,1,2014年09月02日(18:30-20:20),教2－401,
仙林,电子科学与工程学院,B0400012S,电路分析基础B,单剑锋,B110305,1,2014年09月02日(18:30-20:20),教2－401,
仙林,电子科学与工程学院,B0400012S,电路分析基础B,单剑锋,B110306,1,2014年09月02日(18:30-20:20),教2－401,
仙林,电子科学与工程学院,B0400012S,电路分析基础B,单剑锋,B110403,1,2014年09月02日(18:30-20:20),教2－401,
仙林,电子科学与工程学院,B0400012S,电路分析基础B,单剑锋,B110407,1,2014年09月02日(18:30-20:20),教2－401,
仙林,电子科学与工程学院,B0400012S,电路分析基础B,单剑锋,B110606,1,2014年09月02日(18:30-20:20),教2－401,
仙林,电子科学与工程学院,B0400012S,电路分析基础B,单剑锋,B110903,1,2014年09月02日(18:30-20:20),教2－401,
仙林,电子科学与工程学院,B0400012S,电路分析基础B,单剑锋,B110904,2,2014年09月02日(18:30-20:20),教2－401,
仙林,电子科学与工程学院,B0400012S,电路分析基础B,单剑锋,B111402,1,2014年09月02日(18:30-20:20),教2－401,
仙林,电子科学与工程学院,B0400012S,电路分析基础B,单剑锋,B120201,3,2014年09月02日(18:30-20:20),教2－401,
仙林,电子科学与工程学院,B0400012S,电路分析基础B,单剑锋,B120202,2,2014年09月02日(18:30-20:20),教2－401,
仙林,电子科学与工程学院,B0400012S,电路分析基础B,单剑锋,B120203,2,2014年09月02日(18:30-20:20),教2－401,
仙林,电子科学与工程学院,B0400012S,电路分析基础B,单剑锋,B120204,7,2014年09月02日(18:30-20:20),教2－401,
仙林,电子科学与工程学院,B0400012S,电路分析基础B,单剑锋,B120205,1,2014年09月02日(18:30-20:20),教2－401,
仙林,电子科学与工程学院,B0400012S,电路分析基础B,单剑锋,B120301,1,2014年09月02日(18:30-20:20),教2－401,
仙林,电子科学与工程学院,B0400012S,电路分析基础B,单剑锋,B120302,1,2014年09月02日(18:30-20:20),教2－401,
仙林,电子科学与工程学院,B0400012S,电路分析基础B,单剑锋,B120303,3,2014年09月02日(18:30-20:20),教2－401,
仙林,电子科学与工程学院,B0400012S,电路分析基础B,单剑锋,B120304,1,2014年09月02日(18:30-20:20),教2－401,
仙林,电子科学与工程学院,B0400012S,电路分析基础B,单剑锋,B120305,1,2014年09月02日(18:30-20:20),教2－401,
仙林,电子科学与工程学院,B0400012S,电路分析基础B,单剑锋,B120605,4,2014年09月02日(18:30-20:20),教2－401,
仙林,电子科学与工程学院,B0400012S,电路分析基础B,单剑锋,B120606,3,2014年09月02日(18:30-20:20),教2－401,
仙林,电子科学与工程学院,B0400012S,电路分析基础B,单剑锋,B120703,1,2014年09月02日(18:30-20:20),教2－401,
仙林,电子科学与工程学院,B0400012S,电路分析基础B,单剑锋,B120903,3,2014年09月02日(18:30-20:20),教2－401,
仙林,电子科学与工程学院,B0400012S,电路分析基础B,单剑锋,B120904,4,2014年09月02日(18:30-20:20),教2－401,
仙林,电子科学与工程学院,B0400012S,电路分析基础B,单剑锋,B130607,7,2014年09月02日(18:30-20:20),教2－401,
仙林,电子科学与工程学院,B0400012S,电路分析基础B,单剑锋,B131001,7,2014年09月02日(18:30-20:20),教2－401,
